おはいお,,,10,感動詞,*,*,*,*,*,おはいお,オハイオ,オハイオ
しゅん,,,10,感動詞,*,*,*,*,*,しゅん,シュン,シュン
為になる,,,10,動詞,自立,*,*,五段・ラ行,基本形,為になる,タメニナル,タメニナル
為になっ,,,10,動詞,自立,*,*,五段・ラ行,連用タ接続,為になる,ナッ,ナッ
ぷてらろろん,,,10,名詞,固有名詞,一般,*,*,*,ぷてらろろん,プテラロロン,プテラロロン
オリオンクイズ,,,10,名詞,固有名詞,一般,*,*,*,オリオンクイズ,オリオンクイズ,オリオンクイズ
めめめ,,,0,名詞,固有名詞,人名,一般,*,*,めめめ,メメメ,メメメ
メメメ,,,0,名詞,固有名詞,人名,一般,*,*,メメメ,メメメ,メメメ
イオリン,,,0,名詞,固有名詞,人名,一般,*,*,イオリン,イオリン,イオリン
アオリン,,,0,名詞,固有名詞,人名,一般,*,*,アオリン,イオリン,イオリン
ママリン,,,0,名詞,固有名詞,人名,一般,*,*,ママリン,ママリン,ママリン
パパリン,,,0,名詞,固有名詞,人名,一般,*,*,パパリン,パパリン,パパリン
姉リン,,,0,名詞,固有名詞,人名,一般,*,*,姉リン,アネリン,アネリン
アネリン,,,0,名詞,固有名詞,人名,一般,*,*,アネリン,アネリン,アネリン
オネリン,,,0,名詞,固有名詞,人名,一般,*,*,オネリン,オネリン,オネリン
兄リン,,,0,名詞,固有名詞,人名,一般,*,*,兄リン,アニリン,アニリン
アニリン,,,0,名詞,固有名詞,人名,一般,*,*,アニリン,アニリン,アニリン
膝カックンちゃん,,,0,名詞,固有名詞,人名,一般,*,*,膝カックンちゃん,ヒザカックンチャン,ヒザカックンチャン
りこぴん,,,0,名詞,固有名詞,人名,一般,*,*,りこぴん,リコピン,リコピン
あずきち,,,0,名詞,固有名詞,人名,一般,*,*,あずきち,アズキチ,アズキチ
すずすず,,,0,名詞,固有名詞,人名,一般,*,*,すずすず,スズスズ,スズスズ
なとなと,,,0,名詞,固有名詞,人名,一般,*,*,なとなと,ナトナト,ナトナト
ごんごん,,,0,名詞,固有名詞,人名,一般,*,*,ごんごん,ゴンゴン,ゴンゴン
かんごん,,,0,名詞,固有名詞,人名,一般,*,*,かんごん,カンゴン,カンゴン
ふーちゃん,,,0,名詞,固有名詞,人名,一般,*,*,ふーちゃん,フーチャン,フーチャン
ふーさん,,,0,名詞,固有名詞,人名,一般,*,*,ふーさん,フーサン,フーサン
たまちゃん,,,0,名詞,固有名詞,人名,一般,*,*,ふーちゃん,フーチャン,フーチャン
ばあちゃる,,,0,名詞,固有名詞,人名,一般,*,*,ばあちゃる,ばあちゃる,ばあちゃる
かんたんごんごん,,,0,名詞,固有名詞,人名,一般,*,*,かんたんごんごん,カンタンゴンゴン,カンタンゴンゴン
もちにゃん,,,0,名詞,固有名詞,人名,一般,*,*,もちにゃん,モチニャン,モチニャン
牛巻システム,,,10,名詞,固有名詞,一般,*,*,*,牛巻システム,ウシマキシステム,ウシマキシステム
為度,,,10,名詞,一般,*,*,*,*,為度,タメド,タメド
ちえりーらんど,,,10,名詞,固有名詞,一般,*,*,*,ちえりーらんど,チエリーランド,チエリーランド
兵姫,,,10,名詞,固有名詞,一般,*,*,*,兵姫,ヘイキ,ヘイキ
アイドル部,,,10,名詞,固有名詞,一般,*,*,*,アイドル部,アイドルブ,アイドルブ
アップランド,,,10,名詞,固有名詞,組織,*,*,*,アップランド,アップランド
勝利宣言犬,,,10,名詞,固有名詞,一般,*,*,*,勝利宣言犬,ショウリセンゲンイヌ,ショウリセンゲンイヌ
調子はどハウディー,,,10,感動詞,*,*,*,*,*,*,調子はどハウディー,チョウシハドハウディー,チョウシハドハウディー
ハウディー,,,10,感動詞,*,*,*,*,*,*,ハウディー,ドハウディー,ドハウディー
みんなさん,,,10,名詞,代名詞,一般,*,*,*,みんなさん,ミンナサン,ミンナサン
ばってんこ,,,10,名詞,一般,*,*,*,*,ばってんこ,ばってんこ,ばってんこ
生ミルキー,,,10,名詞,固有名詞,一般,*,*,*,生ミルキー,ナマミルキー,ナマミルキー
ださい,,,10,形容詞,自立,*,*,形容詞・イ段,基本形,ださい,ダサイ,ダサイ
ペニーズワイ,,,10,名詞,固有名詞,人名,一般,*,*,ペニーズワイ,ペニーズワイ,ペニーズワイ
イオ理論,,,10,名詞,固有名詞,一般,*,*,*,イオ理論,イオリロン,イオリロン
謀反マン,,,10,名詞,一般,*,*,*,*,謀反マン,ムホンマン,ムホンマン
やりおるマン,,,10,名詞,一般,*,*,*,*,やりおるマン,ヤリオルマン,ヤリオルマン
